2.0,"['你', ' ', '酸民', '哭哭']"
0.0,"['台星', '還是', '虧錢', '台哥', '願意', '併', ' ', '有', '談好', '條件', '價碼', '觀望']"
0.0,"['明天', '有', '開盤', '？', '總加速師', '，', '讓', '韭菜', '回家', '吃', '自己黨', '宣布', '經濟', '成長', '騰飛', '8.1%', '可是', '政府', '破產', '又', '公務員警', '教主', '我', '愛', '你']"
1.0,"['賺錢', '特地', '回來', '鬆哥', '這', '是', '很準', '我', '是', '打算', '買個幾張放著', '看戲']"
1.0,"['這', '題材', '還', '行', '畢竟', '他', '算是', '電動車', '跟', '元', '宇宙', '都', '有', '涉獵到', '但', '什麼', '時候', '可以', '廣泛', '應用', '還', '說', '不準', '怕', '錯過', '就', '先', '買', '什麼', '是', '扣抵值']"
0.0,"['住套房', '，', '被', '強迫', '抱股', '過年', '？']"
0.0,"['老王', '都', '說', '短線', '不', '抱股', '過年', '的', '，', '長線', '除外', '，', '多頭', '他', '一']"
2.0,"['  ', '那', '你', '刪', '個', '屁文']"
2.0,"['迷幻藥', '總', '有', '醒來', '的', '一', '天']"
2.0,"['喊到', '小孩', '都', '快', '上', '幼稚園', '，', '總會', '對', '一', '次']"
2.0,"['了', '多久', '終於', '喊到']"
2.0,"['臉皮', '擋', '核彈', '應該', '輕輕鬆鬆']"
1.0,"['股票', '一', '年', '內', '都', '漲', '幾', '倍', ' ', '再', '跌', '5成', '小意思']"
0.0,"['15', '就', '壓身家', ' ', '那', '海運', '只', '值', '20', '進來', '嗎']"
0.0,"['我', '的', '錢錢', '～～～～']"
0.0,"['狂倒', 'GG']"
2.0,"['嗚嗚', '995']"
1.0,"['台灣', '經濟', '很', '好', '多', '軍', '請', '不要', '放棄', '希望', '屎', '壯拜', '就', '對了']"
2.0,"['99599', '喵喵']"
2.0,"['一二一', '拜登', '基']"
0.0,"['就', '被', '嘎死']"
2.0,"['等', '黃藍燈', '很難', '？']"
2.0,"['空軍', '舒服']"
2.0,['還好']
2.0,"['沒', '爆真', '的', '笑', '鼠', '倫']"
0.0,"['比', '特', '腰斬', '再', '腰斬', '笑死']"
2.0,['0']
0.0,"['幹怎麼', '資金', '會', '到', '實體', '黃金', '去', '.', '.', '...']"
2.0,"['還', '被', '陳龍', '說中']"
0.0,"['唉', '花', '三', '個', '月', '的', '獲利', '，', '幾', '天', '就', '吐回去']"
0.0,"['2022年', '每', '天', '都', '賠錢']"
